,value,metric,type
0,-1.573686121231726,kde,z_mode
1,12.132656544813305,kde,z_mode
2,-0.7259289308428275,kde,z_mode
3,2.854000851745564,kde,z_mode
4,10.824912365704423,kde,z_mode
5,8.070206562688961,kde,z_mode
6,-0.5371927036036764,kde,z_mode
7,9.732359060268193,kde,z_mode
8,11.23528913522976,kde,z_mode
9,5.296907716592872,kde,z_mode
10,15.003387304505491,kde,z_mode
11,10.614130947368,kde,z_mode
12,8.276591213138893,kde,z_mode
13,11.123317557918256,kde,z_mode
14,6.715788363633561,kde,z_mode
15,12.977900330182754,kde,z_mode
16,13.003420985823753,kde,z_mode
17,4.461205888030454,kde,z_mode
18,4.16877668844681,kde,z_mode
19,13.650984355622935,kde,z_mode
20,16.143727768152765,kde,z_mode
21,7.677866504548352,kde,z_mode
22,15.371441178325961,kde,z_mode
23,5.2580858457937625,kde,z_mode
24,7.853742065610018,kde,z_mode
25,13.961653473269342,kde,z_mode
26,13.636710924764879,kde,z_mode
27,12.406733331853202,kde,z_mode
28,1.5703756392117467,kde,z_mode
29,15.310682609550206,kde,z_mode
30,6.900664098853429,kde,z_mode
31,-2.817866300318073,kde,z_mode
32,15.301018047093654,kde,z_mode
33,15.404824938819386,kde,z_mode
34,10.582581473105597,kde,z_mode
35,12.720143995722905,kde,z_mode
36,-1.1390167262167543,kde,z_mode
37,6.93174896211806,kde,z_mode
38,3.0180927715679395,kde,z_mode
39,16.916550695843345,kde,z_mode
40,13.152877246836635,kde,z_mode
41,12.52258272183065,kde,z_mode
42,4.632219884328707,kde,z_mode
43,11.934791867841623,kde,z_mode
44,7.384682000097153,kde,z_mode
45,1.5365734011489411,kde,z_mode
46,13.41185986092793,kde,z_mode
47,12.221187239997239,kde,z_mode
48,10.442124729073102,kde,z_mode
49,11.870760267011136,kde,z_mode
50,6.682457508893692,kde,z_mode
51,12.973860079901778,kde,z_mode
52,12.966750531845227,kde,z_mode
53,6.175536909580202,kde,z_mode
54,14.32388108246688,kde,z_mode
55,-0.4421398467495839,kde,z_mode
56,6.762478122775186,kde,z_mode
57,-1.9186959232620775,kde,z_mode
58,11.247097712159945,kde,z_mode
59,3.321206264287099,kde,z_mode
60,4.707745792379812,kde,z_mode
61,13.012173338606278,kde,z_mode
62,13.208814841611972,kde,z_mode
63,5.268857272316109,kde,z_mode
64,13.399723275197312,kde,z_mode
65,14.602970881699605,kde,z_mode
66,7.967849679661502,kde,z_mode
67,8.705122301612562,kde,z_mode
68,13.11170854222858,kde,z_mode
69,11.145913074734134,kde,z_mode
70,0.15855077028370787,kde,z_mode
71,15.45212081355921,kde,z_mode
72,6.587119530814681,kde,z_mode
73,3.154312449233985,kde,z_mode
74,14.599740380069173,kde,z_mode
75,14.593277954569189,kde,z_mode
76,12.96078327373526,kde,z_mode
77,4.986948637213796,kde,z_mode
78,10.016956346236467,kde,z_mode
79,15.308045908458759,kde,z_mode
80,13.160421223394238,kde,z_mode
81,-3.658801110392997,kde,z_mode
82,2.2166678635464683,kde,z_mode
83,15.345527071351011,kde,z_mode
84,9.544572637716174,kde,z_mode
85,-2.30107219531976,kde,z_mode
86,0.8872267084903813,kde,z_mode
87,14.996947048475256,kde,z_mode
88,4.879041394451378,kde,z_mode
89,-0.6649162149144754,kde,z_mode
90,8.553615193857011,kde,z_mode
91,5.980942387262923,kde,z_mode
92,-1.4050130687901303,kde,z_mode
93,-4.47120832775134,kde,z_mode
94,7.045848948565146,kde,z_mode
95,11.361528955588321,kde,z_mode
96,9.424130666816083,kde,z_mode
97,15.430970256659016,kde,z_mode
98,15.630633371479504,kde,z_mode
99,14.074996090609288,kde,z_mode
100,13.804382081630212,kde,z_mode
101,14.428030970624631,kde,z_mode
102,12.946811227633097,kde,z_mode
103,13.45746398637886,kde,z_mode
104,14.787746966614115,kde,z_mode
105,9.839904034019135,kde,z_mode
106,15.898413087743354,kde,z_mode
107,-0.032443331050297286,kde,z_mode
108,6.964224191839494,kde,z_mode
109,-3.406883783493018,kde,z_mode
110,13.869732430087133,kde,z_mode
111,5.802848456747296,kde,z_mode
112,7.9091259254992385,kde,z_mode
113,5.077431109045269,kde,z_mode
114,12.651666873136264,kde,z_mode
115,9.642471675374514,kde,z_mode
116,14.114331329145957,kde,z_mode
117,15.7674893060778,kde,z_mode
118,10.489532357553204,kde,z_mode
119,11.560114411541996,kde,z_mode
120,15.37276972152052,kde,z_mode
121,13.75833710476268,kde,z_mode
122,9.27090865021646,kde,z_mode
123,8.340111231649916,kde,z_mode
124,9.272861262786424,kde,z_mode
125,5.783718013899905,kde,z_mode
126,6.589785012963461,kde,z_mode
127,1.9938783485503104,kde,z_mode
128,13.480675693789697,kde,z_mode
129,9.728157094679926,kde,z_mode
130,11.671545171258416,kde,z_mode
131,17.829994335999082,kde,z_mode
132,15.325337430492695,kde,z_mode
133,-2.3903067458113907,kde,z_mode
134,6.353772654066871,kde,z_mode
135,9.058265931115882,kde,z_mode
136,10.955125917425185,kde,z_mode
137,1.8400466666918813,kde,z_mode
138,6.437446481738987,kde,z_mode
139,13.447699922853205,kde,z_mode
140,1.2837831969141194,kde,z_mode
141,11.744688646771609,kde,z_mode
142,9.901430407429318,kde,z_mode
143,-4.311305080001217,kde,z_mode
144,-4.282804945564097,kde,z_mode
145,13.259204611126536,kde,z_mode
146,15.222838176576932,kde,z_mode
147,11.623186134627163,kde,z_mode
148,17.81128846418225,kde,z_mode
149,17.739624404774084,kde,z_mode
150,14.2016429045981,kde,z_mode
151,17.599176878058696,kde,z_mode
152,17.89241201587719,kde,z_mode
153,15.403743952657766,kde,z_mode
154,12.542169551677366,kde,z_mode
155,14.324090759974942,kde,z_mode
156,11.247753046316394,kde,z_mode
157,4.586171125965324,kde,z_mode
158,10.194946355439857,kde,z_mode
159,13.283425210232108,kde,z_mode
160,14.075329165862593,kde,z_mode
161,-1.185399770680889,kde,z_mode
162,15.700458403311211,kde,z_mode
163,0.2501824167867054,kde,z_mode
164,9.758422430042684,kde,z_mode
165,7.853898116909151,kde,z_mode
166,0.8874016792936036,kde,z_mode
167,11.135084339451417,kde,z_mode
168,8.468706279910403,kde,z_mode
169,13.367538204856357,kde,z_mode
170,13.272429480452399,kde,z_mode
171,17.653860260730205,kde,z_mode
172,17.70251334055641,kde,z_mode
173,8.885530038464504,kde,z_mode
174,9.877607295085285,kde,z_mode
175,11.306394745755945,kde,z_mode
176,8.297868639250511,kde,z_mode
177,12.461973533225455,kde,z_mode
178,6.1529500392618415,kde,z_mode
179,-3.107964378063622,kde,z_mode
180,-3.307550532383815,kde,z_mode
181,15.28881428224809,kde,z_mode
182,15.802964423937992,kde,z_mode
183,17.704690301894026,kde,z_mode
184,7.235533132582341,kde,z_mode
185,8.96194995853475,kde,z_mode
186,10.169165718310808,kde,z_mode
187,-2.992713508427579,kde,z_mode
188,7.04676813014068,kde,z_mode
189,9.346430730124416,kde,z_mode
190,0.47443265150708275,kde,z_mode
191,0.5083600382858159,kde,z_mode
192,6.815866246021802,kde,z_mode
193,-4.312230578653232,kde,z_mode
194,8.947197697297305,kde,z_mode
195,10.33105504705776,kde,z_mode
196,2.8869190954565624,kde,z_mode
197,15.388284859952737,kde,z_mode
198,11.680545671409789,kde,z_mode
199,14.69257038316625,kde,z_mode
200,8.469641070914534,kde,z_mode
201,12.550217236373191,kde,z_mode
202,11.77357236505686,kde,z_mode
203,13.735588938014404,kde,z_mode
204,13.051221127861277,kde,z_mode
205,4.719410830125938,kde,z_mode
206,11.802153064782402,kde,z_mode
207,2.7837298447744097,kde,z_mode
208,15.02922129584066,kde,z_mode
209,7.970416127511367,kde,z_mode
210,14.641186592966369,kde,z_mode
211,9.626843288522956,kde,z_mode
212,8.669286535696852,kde,z_mode
213,15.941418051368826,kde,z_mode
214,-0.9418340835399961,kde,z_mode
215,16.34179719215308,kde,z_mode
216,1.7913953160085283,kde,z_mode
217,12.181565101764592,kde,z_mode
218,11.744739679558268,kde,z_mode
219,0.680016444702563,kde,z_mode
220,14.300795943417787,kde,z_mode
221,9.032246072762495,kde,z_mode
222,15.596591348098501,kde,z_mode
223,15.299730951566518,kde,z_mode
224,11.629130501286678,kde,z_mode
225,13.784834161485898,kde,z_mode
226,0.3871885975869744,kde,z_mode
227,13.0537910793066,kde,z_mode
228,13.852426846085233,kde,z_mode
229,11.386872626260976,kde,z_mode
230,-1.0441490671390627,kde,z_mode
231,11.46982472290593,kde,z_mode
232,-0.7146687688201522,kde,z_mode
233,-1.0906026778874083,kde,z_mode
234,7.1571467072518935,kde,z_mode
235,15.922449559733995,kde,z_mode
236,3.9233523399120873,kde,z_mode
237,3.221048459125288,kde,z_mode
238,11.230975823798376,kde,z_mode
239,14.31266894713281,kde,z_mode
240,-3.22393254294605,kde,z_mode
241,11.729342396896424,kde,z_mode
242,10.945996273396235,kde,z_mode
243,-1.1755115425076836,kde,z_mode
244,10.472428381884441,kde,z_mode
245,13.453689273993843,kde,z_mode
246,7.213234509577291,kde,z_mode
247,9.436824564252372,kde,z_mode
248,12.832855710456569,kde,z_mode
249,8.472983644417635,kde,z_mode
250,17.766722018386407,kde,z_mode
251,13.700575465339295,kde,z_mode
252,16.319205091954316,kde,z_mode
253,15.50181666208885,kde,z_mode
254,14.209523000651936,kde,z_mode
255,12.575520644571398,kde,z_mode
256,11.95695001863366,kde,z_mode
257,13.584001872859007,kde,z_mode
258,3.6865692889201673,kde,z_mode
