,value,metric,type
0,-0.48999814544690934,kde,full
1,-1.2381891902869444,kde,full
2,-2.695499692815561,kde,full
3,-2.0537603030355474,kde,full
4,-1.7582483969003369,kde,full
5,0.4552462267704862,kde,full
6,-1.1197936773198318,kde,full
7,-0.909531328874482,kde,full
8,-1.069878944332397,kde,full
9,-2.4647230196480248,kde,full
10,-2.1811721709030776,kde,full
11,-1.8770551856687956,kde,full
12,-0.0993230215876163,kde,full
13,-0.4482261594455537,kde,full
14,-1.1091799822116275,kde,full
15,-0.966286445000187,kde,full
16,-2.098310214718779,kde,full
17,-2.304924883732542,kde,full
18,-1.8546743942808575,kde,full
19,0.2904759562490121,kde,full
20,1.0474123205362385,kde,full
21,0.22437926080131576,kde,full
22,-0.08996946016929051,kde,full
23,-0.7814676820298144,kde,full
24,-2.4093126690459803,kde,full
25,-1.6906741134478427,kde,full
26,-1.6881912845771307,kde,full
27,-0.14923389577537072,kde,full
28,-0.2759580089590909,kde,full
29,-0.12120729709019804,kde,full
30,-1.5307547432647122,kde,full
31,-1.6195009843539188,kde,full
32,-2.6380610773142763,kde,full
33,-1.526512385321054,kde,full
34,-1.655118939184143,kde,full
35,2.4406238536515286,kde,full
36,1.1723326570684938,kde,full
37,-0.6324611438706541,kde,full
38,-1.9677386297008244,kde,full
39,-1.8484936374160326,kde,full
40,-2.741297517398577,kde,full
41,-2.285581762904661,kde,full
42,-1.8450200104429537,kde,full
43,0.9023033340004665,kde,full
44,2.526720834368048,kde,full
45,-0.11506794689224528,kde,full
46,-1.750393156362729,kde,full
47,-1.9275578639737005,kde,full
48,-2.529483330714399,kde,full
49,-2.577471630333672,kde,full
50,1.4746995360137014,kde,full
51,1.1046491829054874,kde,full
52,-0.34156158277535875,kde,full
53,-0.892915926909661,kde,full
54,-0.7274843562388226,kde,full
55,-2.2591919749893545,kde,full
56,-2.3511258760558666,kde,full
57,-0.720405720747969,kde,full
58,6.073975702122992,kde,full
59,1.0917065424300685,kde,full
60,-1.0626478752263195,kde,full
61,-1.6382355840744591,kde,full
62,-2.2944235356830904,kde,full
63,-2.2108706493937937,kde,full
64,2.021902082860634,kde,full
65,-1.0578402763338874,kde,full
66,-2.1737745632874215,kde,full
67,-2.121482689622368,kde,full
68,-1.1299991270067917,kde,full
69,-1.3414241434450078,kde,full
70,-1.8451375930957787,kde,full
71,-2.183748142349968,kde,full
72,-1.094091666002609,kde,full
73,-0.9765949424448144,kde,full
74,-1.075220535560335,kde,full
75,-1.9432002846619176,kde,full
76,-1.0033584407424019,kde,full
77,-1.457940280303996,kde,full
78,-0.8555453879018221,kde,full
79,-1.5177650744758824,kde,full
80,-0.8425103502419634,kde,full
81,-1.3980127601353696,kde,full
82,-1.9173835078679924,kde,full
83,-1.5109403672133415,kde,full
84,-1.4030308423060165,kde,full
85,-1.0633939869591806,kde,full
86,-1.7732497102791847,kde,full
87,-1.4079773077891815,kde,full
88,-1.1821427688322481,kde,full
89,-1.814771695823137,kde,full
